STEM match for unaligned Myanmaran :: Myanmar :: nw.chtb_0027.3 ulf
STEM match for unaligned and :: and :: nw.chtb_0113.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0113.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0122.3 ulf
STEM match for unaligned and :: and :: nw.chtb_0122.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0122.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0122.7 ulf
STEM match for unaligned suitably :: suit-01 :: nw.chtb_0123.5 ulf
STEM match for unaligned exchangeability :: exchange-01 :: nw.chtb_0123.7 ulf
STEM match for unaligned Rive :: river :: nw.chtb_0126.6 ulf
STEM match for unaligned and :: and :: nw.chtb_0131.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0131.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0131.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0131.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0133.16 ulf
STEM match for unaligned and :: and :: nw.chtb_0134.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0134.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0134.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0134.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0134.11 ulf
STEM match for unaligned and :: and :: nw.chtb_0134.11 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned namely :: name :: nw.chtb_0136.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0136.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0136.10 ulf
STEM match for unaligned possesses :: poss :: nw.chtb_0136.10 ulf
STEM match for unaligned conservancy :: conserve-01 :: nw.chtb_0145.4 ulf
STEM match for unaligned conservancy :: consist-of :: nw.chtb_0145.4 ulf
STEM match for unaligned conservancy :: consist-of :: nw.chtb_0145.4 ulf
STEM match for unaligned raiser :: raise-02 :: nw.chtb_0145.7 ulf
STEM match for unaligned Japanese :: Japan :: nw.chtb_0149.6 ulf
STEM match for unaligned and :: and :: nw.chtb_0149.9 ulf
STEM match for unaligned and :: and :: nw.chtb_0149.9 ulf
STEM match for unaligned and :: and :: nw.chtb_0155.8 ulf
STEM match for unaligned and :: and :: nw.chtb_0155.8 ulf
STEM match for unaligned and :: and :: nw.chtb_0155.8 ulf
STEM match for unaligned and :: and :: nw.chtb_0163.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0163.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0163.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0163.5 ulf
STEM match for unaligned Soviet :: Soviet :: nw.chtb_0172.2 ulf
STEM match for unaligned Soviet :: Soviet :: nw.chtb_0172.2 ulf
STEM match for unaligned reconnaissance :: reconnoiter-00 :: nw.chtb_0177.6 ulf
STEM match for unaligned and :: and :: nw.chtb_0186.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0201.1 ulf
STEM match for unaligned recreational :: recreate-00 :: nw.chtb_0203.1 ulf
STEM match for unaligned recreational :: recreate-00 :: nw.chtb_0203.2 ulf
STEM match for unaligned pathfinder :: path :: nw.chtb_0205.1 ulf
STEM match for unaligned Shanghai :: Shanghai :: nw.chtb_0208.7 ulf
STEM match for unaligned Shanghai :: Shanghai :: nw.chtb_0208.7 ulf
STEM match for unaligned Shanghai :: Shanghai :: nw.chtb_0208.7 ulf
STEM match for unaligned Shanghai :: Shanghai :: nw.chtb_0208.7 ulf
STEM match for unaligned Shanghai :: Shanghai :: nw.chtb_0208.7 ulf
STEM match for unaligned Shanghai :: Shanghai :: nw.chtb_0208.7 ulf
STEM match for unaligned Shanghai :: Shanghai :: nw.chtb_0208.7 ulf
STEM match for unaligned Shanghai :: Shanghai :: nw.chtb_0208.7 ulf
STEM match for unaligned Number :: Number :: nw.chtb_0208.7 ulf
STEM match for unaligned Number :: Number :: nw.chtb_0208.7 ulf
STEM match for unaligned Number :: Number :: nw.chtb_0208.7 ulf
STEM match for unaligned Number :: Number :: nw.chtb_0208.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0208.13 ulf
STEM match for unaligned Central :: Central :: nw.chtb_0208.18 ulf
STEM match for unaligned Central :: Central :: nw.chtb_0208.18 ulf
STEM match for unaligned Central :: Central :: nw.chtb_0208.18 ulf
STEM match for unaligned Central :: Central :: nw.chtb_0208.18 ulf
STEM match for unaligned Central :: Central :: nw.chtb_0208.18 ulf
STEM match for unaligned Central :: Central :: nw.chtb_0208.18 ulf
STEM match for unaligned Committee :: Commission :: nw.chtb_0208.18 ulf
STEM match for unaligned Committee :: Communist :: nw.chtb_0208.18 ulf
STEM match for unaligned Committee :: Committee :: nw.chtb_0208.18 ulf
STEM match for unaligned Committee :: Committee :: nw.chtb_0208.18 ulf
STEM match for unaligned Committee :: Committee :: nw.chtb_0208.18 ulf
STEM match for unaligned Committee :: Committee :: nw.chtb_0208.18 ulf
STEM match for unaligned and :: and :: nw.chtb_0208.24 ulf
STEM match for unaligned and :: and :: nw.chtb_0213.6 ulf
STEM match for unaligned and :: and :: nw.chtb_0213.6 ulf
STEM match for unaligned satisfactorily :: satisfy-01 :: nw.chtb_0215.3 ulf
STEM match for unaligned Commitee :: Committee :: nw.chtb_0215.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0217.4 ulf
STEM match for unaligned calendar :: calendar :: nw.chtb_0221.5 ulf
STEM match for unaligned calendar :: calendar :: nw.chtb_0221.5 ulf
STEM match for unaligned calendar :: calendar :: nw.chtb_0221.5 ulf
STEM match for unaligned calendar :: calendar :: nw.chtb_0221.5 ulf
STEM match for unaligned calendar :: calendar :: nw.chtb_0221.8 ulf
STEM match for unaligned calendar :: calendar :: nw.chtb_0221.8 ulf
STEM match for unaligned hopefully :: hope-01 :: nw.chtb_0221.8 ulf
STEM match for unaligned and :: and :: nw.chtb_0224.3 ulf
STEM match for unaligned and :: and :: nw.chtb_0227.6 ulf
STEM match for unaligned Russia :: Russia :: nw.chtb_0227.7 ulf
STEM match for unaligned Russia :: Russia :: nw.chtb_0227.7 ulf
STEM match for unaligned Russia :: Russian :: nw.chtb_0227.7 ulf
STEM match for unaligned Chinese :: China :: nw.chtb_0228.3 ulf
STEM match for unaligned and :: and :: nw.chtb_0230.4 ulf
STEM match for unaligned coacervation :: coacervate-00 :: nw.chtb_0230.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0231.2 ulf
STEM match for unaligned Ireland :: Ireland :: nw.chtb_0231.7 ulf
STEM match for unaligned Ireland :: Ireland :: nw.chtb_0231.7 ulf
STEM match for unaligned phalanges :: phalanx :: nw.chtb_0232.4 ulf
STEM match for unaligned valuable :: value-01 :: nw.chtb_0232.8 ulf
STEM match for unaligned and :: and :: nw.chtb_0232.9 ulf
STEM match for unaligned and :: and :: nw.chtb_0232.9 ulf
STEM match for unaligned and :: and :: nw.chtb_0232.9 ulf
STEM match for unaligned and :: and :: nw.chtb_0232.9 ulf
STEM match for unaligned and :: and :: nw.chtb_0234.6 ulf
STEM match for unaligned audited :: Audit :: nw.chtb_0234.7 ulf
STEM match for unaligned audited :: audit-01 :: nw.chtb_0234.7 ulf
STEM match for unaligned regarding :: regain-01 :: nw.chtb_0234.9 ulf
STEM match for unaligned and :: and :: nw.chtb_0234.10 ulf
STEM match for unaligned and :: and :: nw.chtb_0234.10 ulf
STEM match for unaligned affirmative :: affirm-01 :: nw.chtb_0237.3 ulf
STEM match for unaligned Hong :: Hong :: nw.chtb_0237.4 ulf
STEM match for unaligned Hong :: Hong :: nw.chtb_0237.4 ulf
STEM match for unaligned Kong :: Kong :: nw.chtb_0237.4 ulf
STEM match for unaligned Kong :: Kong :: nw.chtb_0237.4 ulf
STEM match for unaligned Special :: Special :: nw.chtb_0237.4 ulf
STEM match for unaligned Special :: Special :: nw.chtb_0237.4 ulf
STEM match for unaligned Special :: Special :: nw.chtb_0237.4 ulf
STEM match for unaligned Special :: Special :: nw.chtb_0237.4 ulf
STEM match for unaligned Administrative :: Administrative :: nw.chtb_0237.4 ulf
STEM match for unaligned Administrative :: Administrative :: nw.chtb_0237.4 ulf
STEM match for unaligned Administrative :: Administrative :: nw.chtb_0237.4 ulf
STEM match for unaligned Administrative :: Administrative :: nw.chtb_0237.4 ulf
STEM match for unaligned Region :: Region :: nw.chtb_0237.4 ulf
STEM match for unaligned Region :: Region :: nw.chtb_0237.4 ulf
STEM match for unaligned Region :: Region :: nw.chtb_0237.4 ulf
STEM match for unaligned Region :: country-region :: nw.chtb_0237.4 ulf
STEM match for unaligned Region :: Region :: nw.chtb_0237.4 ulf
STEM match for unaligned Special :: Special :: nw.chtb_0237.4 ulf
STEM match for unaligned Special :: Special :: nw.chtb_0237.4 ulf
STEM match for unaligned Special :: Special :: nw.chtb_0237.4 ulf
STEM match for unaligned Special :: Special :: nw.chtb_0237.4 ulf
STEM match for unaligned Administrative :: Administrative :: nw.chtb_0237.4 ulf
STEM match for unaligned Administrative :: Administrative :: nw.chtb_0237.4 ulf
STEM match for unaligned Administrative :: Administrative :: nw.chtb_0237.4 ulf
STEM match for unaligned Administrative :: Administrative :: nw.chtb_0237.4 ulf
STEM match for unaligned formative :: form-01 :: nw.chtb_0237.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0237.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0237.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0237.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0237.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0237.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0237.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0237.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0237.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0237.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0237.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0241.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0241.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0241.7 ulf
STEM match for unaligned physics :: physics :: nw.chtb_0241.10 ulf
STEM match for unaligned physics :: Physics :: nw.chtb_0241.10 ulf
STEM match for unaligned physics :: physics :: nw.chtb_0241.10 ulf
STEM match for unaligned physics :: Physics :: nw.chtb_0241.10 ulf
STEM match for unaligned and :: and :: nw.chtb_0243.6 ulf
STEM match for unaligned and :: and :: nw.chtb_0243.6 ulf
STEM match for unaligned renowned :: renown :: nw.chtb_0247.6 ulf
STEM match for unaligned and :: and :: nw.chtb_0248.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0248.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0248.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0248.4 ulf
STEM match for unaligned capitol :: capital :: nw.chtb_0260.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0262.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0262.5 ulf
STEM match for unaligned aforementioned :: afore :: nw.chtb_0263.3 ulf
STEM match for unaligned and :: and :: nw.chtb_0263.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0263.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0263.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0263.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0263.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0263.5 ulf
STEM match for unaligned aforementioned :: afore :: nw.chtb_0263.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0266.8 ulf
STEM match for unaligned and :: and :: nw.chtb_0266.8 ulf
STEM match for unaligned and :: and :: nw.chtb_0266.8 ulf
STEM match for unaligned descendents :: descend-01 :: nw.chtb_0272.2 ulf
STEM match for unaligned strategic :: strategy :: nw.chtb_0273.5 ulf
STEM match for unaligned sanitation :: sanitize-01 :: nw.chtb_0277.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0278.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0281.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0281.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0281.10 ulf
STEM match for unaligned and :: and :: nw.chtb_0281.10 ulf
STEM match for unaligned and :: and :: nw.chtb_0281.10 ulf
STEM match for unaligned and :: and :: nw.chtb_0281.10 ulf
STEM match for unaligned suitable :: suit-01 :: nw.chtb_0281.13 ulf
STEM match for unaligned fairly :: fair :: nw.chtb_0281.16 ulf
STEM match for unaligned namely :: name :: nw.chtb_0284.4 ulf
STEM match for unaligned namely :: name :: nw.chtb_0284.4 ulf
STEM match for unaligned namely :: name :: nw.chtb_0284.4 ulf
STEM match for unaligned namely :: name :: nw.chtb_0284.4 ulf
STEM match for unaligned namely :: name :: nw.chtb_0284.10 ulf
STEM match for unaligned namely :: name :: nw.chtb_0284.10 ulf
STEM match for unaligned and :: and :: nw.chtb_0284.15 ulf
STEM match for unaligned and :: and :: nw.chtb_0284.15 ulf
STEM match for unaligned and :: and :: nw.chtb_0284.15 ulf
STEM match for unaligned under :: understand-01 :: nw.chtb_0284.18 ulf
STEM match for unaligned and :: and :: nw.chtb_0285.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0285.7 ulf
STEM match for unaligned unblocked :: block-01 :: nw.chtb_0285.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0287.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0287.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0287.7 ulf
STEM match for unaligned and :: and :: nw.chtb_0288.3 ulf
STEM match for unaligned and :: and :: nw.chtb_0294.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0294.2 ulf
STEM match for unaligned and :: and :: nw.chtb_0294.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0294.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0294.4 ulf
STEM match for unaligned sanitation :: sanitize-01 :: nw.chtb_0294.6 ulf
STEM match for unaligned and :: and :: nw.chtb_0295.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0295.4 ulf
STEM match for unaligned Latvian :: Latvia :: nw.chtb_0298.6 ulf
STEM match for unaligned and :: and :: nw.chtb_0298.6 ulf
STEM match for unaligned and :: and :: nw.chtb_0298.6 ulf
STEM match for unaligned and :: and :: nw.chtb_0298.6 ulf
STEM match for unaligned Kirghizian :: Kirghizia :: nw.chtb_0305.3 ulf
STEM match for unaligned Chinese :: China :: nw.chtb_0305.4 ulf
STEM match for unaligned Kirghizian :: Kirghizia :: nw.chtb_0305.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0305.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0305.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0305.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0305.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0305.4 ulf
STEM match for unaligned and :: and :: nw.chtb_0305.4 ulf
STEM match for unaligned Kirghizian :: Kirghizia :: nw.chtb_0305.4 ulf
STEM match for unaligned Kirghizian :: Kirghizia :: nw.chtb_0305.5 ulf
STEM match for unaligned and :: and :: nw.chtb_0305.9 ulf
STEM match for unaligned and :: and :: nw.chtb_0305.9 ulf
STEM match for unaligned Kirghizian :: Kirghizia :: nw.chtb_0305.11 ulf
STEM match for unaligned Kirghizian :: Kirghizia :: nw.chtb_0305.11 ulf
STEM match for unaligned friendliness :: friendship :: nw.chtb_0318.9 ulf
STEM match for unaligned friendliness :: friendly-41 :: nw.chtb_0318.9 ulf
STEM match for unaligned and :: and :: nw.chtb_0318.11 ulf
STEM match for unaligned Liu :: Liu :: nw.chtb_0322.8 ulf
STEM match for unaligned and :: and :: nw.chtb_0322.16 ulf
STEM match for unaligned and :: and :: nw.chtb_0322.16 ulf
STEM match for unaligned and :: and :: nw.chtb_0324.15 ulf
STEM match for unaligned and :: and :: nw.chtb_0325.3 ulf
